涨停日期,股票代码,买入价,卖出价,盈亏,买入日期开盘涨跌幅,买入日期收盘涨跌幅,卖出日期开盘涨跌幅,卖出日期收盘涨跌幅,盈亏比例,总数,排名,涨跌幅区间,凯莉公式仓位,胜率,仓位
2025-03-21,300569,6.7,6.3,-0.4000000000000003,6.0126582278481,-1.107594936708865,-2.5600000000000023,0.7999999999999973,-5.970149253731349,2,1,"[6, 7)",0.16967613986589533,0.391304347826087,0.16967613986589533
2025-03-24,300697,14.38,14.91,0.5299999999999994,8.939393939393952,18.03030303030304,-0.2567394094993641,-4.300385109114249,3.685674547983306,6,3,"[8, 9)",,1.0,0.0
2025-03-24,300697,18.87,19.56,0.6899999999999977,8.823529411764712,17.877739331026536,-0.2935420743640032,-4.3052837573385645,3.656597774244821,6,4,"[8, 9)",-0.649801317156318,0.5,0.0
2025-03-24,301025,10.85,10.36,-0.4900000000000002,-0.5499541704857974,-2.658111824014674,-2.354048964218456,-2.448210922787192,-4.516129032258067,6,6,"[-1, 0)",-inf,0.0,0.0
2025-03-24,301025,10.88,10.39,-0.4900000000000002,-0.5484460694698238,-2.6508226691041967,-2.3474178403755865,-2.4413145539906083,-4.503676470588236,6,5,"[-1, 0)",0.014113048597094335,0.4074074074074074,0.014113048597094335
2025-03-24,301055,21.68,17.54,-4.140000000000001,14.587737843551784,-2.4312896405919706,-3.1419284940411805,-4.983748645720485,-19.0959409594096,6,1,"[14, 15)",-0.29113439165829086,0.45454545454545453,0.0
2025-03-24,301055,21.8,17.66,-4.140000000000001,14.49579831932774,-2.4159663865546266,-3.1216361679224884,-4.951560818083952,-18.9908256880734,6,2,"[14, 15)",-0.14085082884974792,0.25,0.0
2025-03-25,300233,22.35,19.8,-2.5500000000000007,3.424340583063406,-1.2956964368348038,-2.203469292076882,-7.172995780590706,-11.409395973154366,12,5,"[3, 4)",-0.18624558163906874,0.44,0.0
2025-03-25,300233,22.5,19.95,-2.5500000000000007,3.40073529411764,-1.286764705882358,-2.188081936685283,-7.1229050279329655,-11.333333333333336,12,6,"[3, 4)",-0.42870597767166385,0.46153846153846156,0.0
2025-03-25,300885,16.53,15.48,-1.0500000000000007,-2.3626698168930806,5.493207324276431,-4.0873460246360604,-13.325867861142212,-6.352087114337572,12,12,"[-3, -2)",0.12744534922126127,0.25,0.12744534922126127
2025-03-25,300885,16.65,15.6,-1.049999999999999,-2.346041055718488,5.454545454545453,-4.06006674082314,-13.23692992213571,-6.3063063063063005,12,11,"[-3, -2)",0.35175233884336443,0.6428571428571429,0.35175233884336443
2025-03-25,300927,25.21,34.16,8.949999999999996,1.6122531237404358,20.07255139056832,3.3568311513930853,14.669352131587774,35.501785005950005,12,9,"[1, 2)",0.43135006149709015,0.6,0.43135006149709015
2025-03-25,300927,25.3,34.25,8.95,1.6064257028112534,20.000000000000004,3.3467202141900936,14.625167336010714,35.37549407114624,12,10,"[1, 2)",,1.0,0.0
2025-03-25,300963,9.14,7.66,-1.4800000000000004,7.151230949589698,0.1172332942555661,-2.8103044496486937,-10.304449648711934,-16.19256017505471,12,1,"[7, 8)",-0.05792729854863138,0.4,0.0
